Components of 5- and 10-year nominal yields and inflation compensation and 5-to-10-year nominal forward rate and forward inflation compensation.,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D'Amico, Kim, and Wei (2018), ""Tips from TIPS: The Informational Content of Treasury Inflation-Protected Security Prices,"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,
"updated by Kim, Walsh, and Wei (2019), FEDS notes, ""Tips from TIPS: Update and Discussions.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data are updated monthly; all rates are in percentage points.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This release is based on a model re-estimation using data through November 12, 2025.  Other changes relative to the Kim, Walsh, and Wei (2019) FEDS note include using 1-year survey inflation forecasts from Blue Chip Financial Forecasts (monthly) instead of 1-year survey inflation forecasts from Survey of Professional Forecasters (quarterly) and adding 15- and 20-year nominal and TIPS yields to the estimation.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"This is not an official Federal Reserve statistical release. Because this is a staff research product and not an official statistical release, it is subject to delay, revision, or methodological changes without advance notice.",,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,exp.real.short.rate.5,exp.inflation.5,real.term.prem.5,inflation.risk.prem.5,tips.liq.prem.5,nominal.yield.raw.5,nominal.yield.fitted.5,ic.raw.5,ic.fitted.5,exp.real.short.rate.10,exp.inflation.10,real.term.prem.10,inflation.risk.prem.10,tips.liq.prem.10,nominal.yield.raw.10,nominal.yield.fitted.10,ic.raw.10,ic.fitted.10,exp.real.short.rate.5f5,exp.inflation.5f5,real.term.prem.5f5,inflation.risk.prem.5f5,tips.liq.prem.5f5,nominal.yield.raw.5f5,nominal.yield.fitted.5f5,ic.raw.5f5,ic.fitted.5f5
1/3/1983,3.709200025,4.30189991,1.902099967,0.262600422,NA,10.2174,10.17580032,NA,NA,3.512399912,4.067800045,2.420799971,0.443899632,NA,10.4219,10.44489956,NA,NA,3.315599799,3.83370018,2.939499974,0.625198841,NA,10.6264,10.71399879,NA,NA
1/4/1983,3.72089982,4.315700054,1.919100046,0.26609993,NA,10.2676,10.22179985,NA,NA,3.528100252,4.079500198,2.439699888,0.448299408,NA,10.4746,10.49559975,NA,NA,3.335300684,3.843300343,2.96029973,0.630498886,NA,10.6816,10.76939964,NA,NA
1/5/1983,3.712899923,4.311399937,1.916599989,0.266400337,NA,10.2495,10.20730019,NA,NA,3.52060008,4.075600147,2.435199976,0.447599888,NA,10.4539,10.47900009,NA,NA,3.328300238,3.839800358,2.953799963,0.628799438,NA,10.6583,10.7507,NA,NA
1/6/1983,3.719800234,4.316500187,1.914499998,0.262499332,NA,10.2434,10.21329975,NA,NA,3.530200005,4.081699848,2.441699982,0.448400021,NA,10.4855,10.50199986,NA,NA,3.340599775,3.846899509,2.968899965,0.634300709,NA,10.7276,10.79069996,NA,NA
1/7/1983,3.685199857,4.309100151,1.904899955,0.257600307,NA,10.1833,10.15680027,NA,NA,3.511600256,4.078400135,2.441499949,0.448599339,NA,10.4642,10.48009968,NA,NA,3.338000655,3.847700119,2.978099942,0.63959837,NA,10.7451,10.80339909,NA,NA
1/10/1983,3.648799896,4.314799786,1.914999962,0.257200718,NA,10.1678,10.13580036,NA,NA,3.501600027,4.086699963,2.463700056,0.454299927,NA,10.492,10.50629997,NA,NA,3.354400158,3.85860014,3.01240015,0.651399136,NA,10.8162,10.87679958,NA,NA
1/11/1983,3.617100239,4.309999943,1.914299965,0.256799698,NA,10.1322,10.09819984,NA,NA,3.484100103,4.08409977,2.466500044,0.455600262,NA,10.4713,10.49030018,NA,NA,3.351099968,3.858199596,3.018700123,0.654400826,NA,10.8104,10.88240051,NA,NA
1/12/1983,3.603099942,4.302899837,1.905599952,0.254300117,NA,10.0951,10.06589985,NA,NA,3.473199844,4.078999996,2.459700108,0.454099655,NA,10.4463,10.4659996,NA,NA,3.343299747,3.855100155,3.013800263,0.653899193,NA,10.7975,10.86609936,NA,NA
1/13/1983,3.564899802,4.293000221,1.899500012,0.252899647,NA,10.04,10.01029968,NA,NA,3.44870019,4.072000027,2.456199884,0.454099655,NA,10.4097,10.43099976,NA,NA,3.332500577,3.850999832,3.012899756,0.655299664,NA,10.7794,10.85169983,NA,NA
1/14/1983,3.530399799,4.290999889,1.898200035,0.250100136,NA,9.9927,9.96969986,NA,NA,3.434099913,4.073500156,2.464999914,0.456299782,NA,10.4134,10.42889977,NA,NA,3.337800026,3.856000423,3.031799793,0.662499428,NA,10.8341,10.88809967,NA,NA
1/17/1983,3.539600253,4.294199944,1.892099977,0.244900227,NA,9.9877,9.9708004,NA,NA,3.443599939,4.077899933,2.467600107,0.456200123,NA,10.4315,10.4453001,NA,NA,3.347599626,3.861599922,3.043100238,0.667500019,NA,10.8753,10.9197998,NA,NA
1/18/1983,3.54429996,4.297599792,1.889999986,0.241799831,NA,9.993,9.97369957,NA,NA,3.450299978,4.08220005,2.471999884,0.456699848,NA,10.4455,10.46119976,NA,NA,3.356299996,3.866800308,3.053999782,0.671599865,NA,10.898,10.94869995,NA,NA
1/19/1983,3.586600065,4.320499897,1.904299974,0.240800381,NA,10.0698,10.05220032,NA,NA,3.489500046,4.102700233,2.496099949,0.461299419,NA,10.5336,10.54959965,NA,NA,3.392400026,3.88490057,3.087899923,0.681798458,NA,10.9974,11.04699898,NA,NA
1/20/1983,3.604300022,4.323400021,1.902699947,0.239499569,NA,10.0906,10.06989956,NA,NA,3.500200272,4.104800224,2.494999886,0.460499763,NA,10.5387,10.56050014,NA,NA,3.396100521,3.886200428,3.087299824,0.681499958,NA,10.9868,11.05110073,NA,NA
1/21/1983,3.677000046,4.370299816,1.955800056,0.251599789,NA,10.2998,10.25469971,NA,NA,3.566800117,4.142300129,2.547800064,0.472099781,NA,10.7045,10.72900009,NA,NA,3.456600189,3.914300442,3.139800072,0.692599773,NA,11.1092,11.20330048,NA,NA
1/24/1983,3.743000031,4.388400078,1.96449995,0.25219965,NA,10.3738,10.34809971,NA,NA,3.610800266,4.155799866,2.555399895,0.472500324,NA,10.7704,10.79450035,NA,NA,3.478600502,3.923199654,3.146299839,0.692800999,NA,11.167,11.24090099,NA,NA
1/25/1983,3.746399879,4.377699852,1.947000027,0.247700214,NA,10.3378,10.31879997,NA,NA,3.604900122,4.146500111,2.53670001,0.467700005,NA,10.7333,10.75580025,NA,NA,3.463400364,3.915300369,3.126399994,0.687699795,NA,11.1288,11.19280052,NA,NA
1/26/1983,3.753100038,4.396100044,1.962200046,0.246799946,NA,10.376,10.35820007,NA,NA,3.624999762,4.164899826,2.565500021,0.473900318,NA,10.8154,10.82929993,NA,NA,3.496899486,3.933699608,3.168799996,0.70100069,NA,11.2548,11.30039978,NA,NA
1/27/1983,3.758500218,4.393599987,1.956200004,0.24489975,NA,10.3741,10.35319996,NA,NA,3.625999928,4.162799835,2.559700012,0.472300053,NA,10.8003,10.82079983,NA,NA,3.493499637,3.931999683,3.163200021,0.699700356,NA,11.2265,11.2883997,NA,NA
1/28/1983,3.757400155,4.402400017,1.968799949,0.247499466,NA,10.4044,10.37609959,NA,NA,3.632200003,4.170700073,2.574599981,0.475900173,NA,10.8334,10.85340023,NA,NA,3.50699985,3.93900013,3.180400014,0.70430088,NA,11.2624,11.33070087,NA,NA
1/31/1983,3.790200233,4.426599979,2,0.25579977,NA,10.5141,10.47259998,NA,NA,3.663499832,4.189499855,2.603199959,0.482600212,NA,10.9149,10.93879986,NA,NA,3.536799431,3.952399731,3.206399918,0.709400654,NA,11.3157,11.40499973,NA,NA
2/1/1983,3.807700157,4.429699898,2.003900051,0.257999897,NA,10.5333,10.4993,NA,NA,3.672499895,4.190700054,2.602299929,0.482199669,NA,10.9239,10.94769955,NA,NA,3.537299633,3.951700211,3.200699806,0.706399441,NA,11.3145,11.39609909,NA,NA
2/2/1983,3.848399878,4.429399967,1.995300055,0.256400108,NA,10.5556,10.52950001,NA,NA,3.69020009,4.188199997,2.587899923,0.477999687,NA,10.9182,10.9442997,NA,NA,3.532000303,3.947000027,3.180499792,0.699599266,NA,11.2808,11.35909939,NA,NA
2/3/1983,3.844199896,4.436200142,2.002300024,0.256399632,NA,10.5649,10.53909969,NA,NA,3.694599867,4.195400238,2.600899935,0.480999947,NA,10.9534,10.97189999,NA,NA,3.544999838,3.954600334,3.199499846,0.705600262,NA,11.3419,11.40470028,NA,NA
2/4/1983,3.899200201,4.456399918,2.017999887,0.258999825,NA,10.6636,10.63259983,NA,NA,3.734600067,4.210800171,2.615600109,0.483500004,NA,11.0196,11.04450035,NA,NA,3.569999933,3.965200424,3.213200331,0.708000183,NA,11.3756,11.45640087,NA,NA
2/7/1983,3.909600019,4.449399948,2.002000093,0.25399971,NA,10.6318,10.61499977,NA,NA,3.735500336,4.204999924,2.600699902,0.479300022,NA,10.9984,11.02050018,NA,NA,3.561400652,3.960599899,3.19939971,0.704600334,NA,11.365,11.4260006,NA,NA
2/8/1983,3.912699938,4.4520998,2.004400015,0.254099846,NA,10.6493,10.6232996,NA,NA,3.73900032,4.207399845,2.604199886,0.480099678,NA,11.0077,11.03069973,NA,NA,3.565300703,3.96269989,3.203999758,0.70609951,NA,11.3661,11.43809986,NA,NA
2/9/1983,3.925200224,4.455299854,2.005399942,0.253900051,NA,10.6643,10.63980007,NA,NA,3.747300148,4.209899902,2.60529995,0.480099678,NA,11.0182,11.04259968,NA,NA,3.569400072,3.96449995,3.205199957,0.706299305,NA,11.3721,11.44539928,NA,NA
2/10/1983,3.873699903,4.419300079,1.971400023,0.249499798,NA,10.5353,10.5138998,NA,NA,3.695300102,4.178999901,2.562900066,0.47110033,NA,10.8789,10.9083004,NA,NA,3.516900301,3.938699722,3.15440011,0.692700863,NA,11.2225,11.302701,NA,NA
2/11/1983,3.827800035,4.409100056,1.97420001,0.253400326,NA,10.4992,10.46450043,NA,NA,3.664700031,4.170400143,2.561100006,0.472100258,NA,10.8385,10.86830044,NA,NA,3.501600027,3.93170023,3.148000002,0.69080019,NA,11.1778,11.27210045,NA,NA
2/14/1983,3.840300202,4.412000179,1.982200027,0.257999897,NA,10.5293,10.49250031,NA,NA,3.670200109,4.170800209,2.561199903,0.472199917,NA,10.8413,10.87440014,NA,NA,3.500100017,3.929600239,3.14019978,0.686399937,NA,11.1533,11.25629997,NA,NA
2/15/1983,3.852000237,4.420599937,1.994699955,0.261899471,NA,10.5649,10.5291996,NA,NA,3.680700064,4.177199841,2.571500063,0.474799633,NA,10.875,10.9041996,NA,NA,3.509399891,3.933799744,3.148300171,0.687699795,NA,11.1851,11.2791996,NA,NA
2/16/1983,3.825600147,4.404399872,1.971899986,0.254700184,NA,10.4692,10.45660019,NA,NA,3.658799887,4.165400028,2.553900003,0.470599651,NA,10.8237,10.84869957,NA,NA,3.491999626,3.926400185,3.135900021,0.686499119,NA,11.1782,11.24079895,NA,NA
2/17/1983,3.792200208,4.386199951,1.958999991,0.254600048,NA,10.4175,10.3920002,NA,NA,3.628299713,4.149499893,2.534800053,0.46710062,NA,10.7441,10.77970028,NA,NA,3.464399219,3.912799835,3.110600114,0.679601192,NA,11.0707,11.16740036,NA,NA
2/18/1983,3.748299837,4.354199886,1.936300039,0.255600452,NA,10.3258,10.29440022,NA,NA,3.58010006,4.119900227,2.495800018,0.459299564,NA,10.6107,10.65509987,NA,NA,3.411900282,3.885600567,3.055299997,0.662998676,NA,10.8956,11.01579952,NA,NA
2/21/1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/22/1983,3.696400046,4.318200111,1.912500024,0.257900238,NA,10.2234,10.18500042,NA,NA,3.524399996,4.086699963,2.453099966,0.450999737,NA,10.4698,10.51519966,NA,NA,3.352399945,3.855199814,2.993699908,0.644099236,NA,10.7162,10.8453989,NA,NA
2/23/1983,3.70509994,4.314400196,1.910699964,0.259999752,NA,10.2239,10.19019985,NA,NA,3.523499966,4.081500053,2.443399906,0.448900223,NA,10.4575,10.49730015,NA,NA,3.341899991,3.848599911,2.976099849,0.637800694,NA,10.6911,10.80440044,NA,NA
2/24/1983,3.703999758,4.314099789,1.904000044,0.255700588,NA,10.1978,10.17780018,NA,NA,3.525000095,4.082900047,2.443799973,0.448600292,NA,10.4744,10.50030041,NA,NA,3.346000433,3.851700306,2.983599901,0.641499996,NA,10.751,10.82280064,NA,NA
2/25/1983,3.618799806,4.272799969,1.863499999,0.247200489,NA,10.0161,10.00230026,NA,NA,3.45630002,4.050499916,2.404299974,0.440599918,NA,10.3225,10.35169983,NA,NA,3.293800235,3.828199863,2.94509995,0.633999348,NA,10.6289,10.7010994,NA,NA
2/28/1983,3.620399714,4.280399799,1.870300055,0.246900082,NA,10.0424,10.01799965,NA,NA,3.463900089,4.058000088,2.416500092,0.443200111,NA,10.3548,10.38160038,NA,NA,3.307400465,3.835600376,2.962700129,0.639500141,NA,10.6672,10.74520111,NA,NA
